transaction_id,user_id,product_id,amount,date,category,price
8334,485,36,199.59,2024-12-04 18:25:18.667250,Electronics,73.66
2405,4310,25,91.84,2024-12-04 18:25:18.667250,Electronics,92.13
10208,2505,68,122.52,2024-12-04 18:25:18.667250,Beauty,222.41
6078,483,60,65.25,2024-12-04 18:25:18.667250,Electronics,120.3
10243,877,15,79.73,2024-12-04 18:25:18.667250,Toys,15.9
14073,2937,107,175.15,2024-12-04 18:25:18.667250,Electronics,130.83
13791,1312,49,163.39,2024-12-04 18:25:18.667250,Home & Garden,10.0
8186,2554,157,6.15,2024-12-04 18:25:18.667250,Food,32.16
12801,1636,111,344.21,2024-12-04 18:25:18.667250,Beauty,254.59
12421,1831,131,68.48,2024-12-04 18:25:18.667250,Furniture,177.75
9893,28,173,167.78,2024-12-04 18:25:18.667250,Toys,175.92
7142,600,84,85.8,2024-12-04 18:25:18.667250,Home & Garden,152.54
539,2792,14,58.85,2024-12-04 18:25:18.667250,Beauty,65.63
14589,1437,88,108.72,2024-12-04 18:25:18.667250,Electronics,39.78
6951,3747,124,34.47,2024-12-04 18:25:18.667250,Books,34.31
2819,2953,92,158.17,2024-12-04 18:25:18.667250,Sports,232.57
1442,4583,51,96.22,2024-12-04 18:25:18.667250,Home & Garden,44.87
4214,1679,138,54.03,2024-12-04 18:25:18.667250,Beauty,60.78
6608,4164,192,145.19,2024-12-04 18:25:18.667250,Furniture,50.9
10748,1261,159,163.05,2024-12-04 18:25:18.667250,Furniture,80.99
4649,1101,127,79.67,2024-12-04 18:25:18.667250,Furniture,258.5
12909,4086,187,112.07,2024-12-04 18:25:18.667250,Toys,26.41
14340,2807,53,74.18,2024-12-04 18:25:18.667250,Home & Garden,93.79
647,3398,115,93.4,2024-12-04 18:25:18.667250,Electronics,320.66
5840,3164,197,26.52,2024-12-04 18:25:18.667250,Electronics,16.28
7761,2089,107,140.17,2024-12-04 18:25:18.667250,Electronics,130.83
10076,1249,113,14.1,2024-12-04 18:25:18.667250,Sports,10.0
8402,4132,81,218.62,2024-12-04 18:25:18.667250,Food,39.73
1149,2313,106,258.62,2024-12-04 18:25:18.667250,Home & Garden,46.92
9201,3102,198,98.08,2024-12-04 18:25:18.667250,Books,81.34
7281,2925,24,46.08,2024-12-04 18:25:18.667250,Sports,29.54
14084,4160,19,154.57,2024-12-04 18:25:18.667250,Beauty,85.16
3960,2191,59,110.96,2024-12-04 18:25:18.667250,Books,60.08
5417,4838,71,91.91,2024-12-04 18:25:18.667250,Electronics,217.37
7838,199,87,116.12,2024-12-04 18:25:18.667250,Furniture,98.63
2980,3045,176,77.7,2024-12-04 18:25:18.667250,Toys,71.83
6785,41,51,50.69,2024-12-04 18:25:18.667250,Home & Garden,44.87
11143,4861,193,110.43,2024-12-04 18:25:18.667250,Beauty,10.0
211,1478,79,82.67,2024-12-04 18:25:18.667250,Food,54.4
14138,4120,12,9.58,2024-12-04 18:25:18.667250,Books,20.64
1951,3064,161,149.26,2024-12-04 18:25:18.667250,Furniture,45.78
9560,1851,120,69.39,2024-12-04 18:25:18.667250,Toys,67.94
9749,4190,187,77.77,2024-12-04 18:25:18.667250,Toys,26.41
9908,3851,145,97.43,2024-12-04 18:25:18.667250,Food,95.06
617,160,156,39.47,2024-12-04 18:25:18.667250,Beauty,253.2
3707,1522,120,120.58,2024-12-04 18:25:18.667250,Toys,67.94
8649,4478,2,69.05,2024-12-05 18:25:18.667250,Home & Garden,36.49
4323,2123,176,154.87,2024-12-05 18:25:18.667250,Toys,71.83
5987,3337,192,112.42,2024-12-05 18:25:18.667250,Furniture,50.9
4347,1804,110,47.97,2024-12-05 18:25:18.667250,Toys,75.06
12857,1822,186,182.73,2024-12-05 18:25:18.667250,Toys,110.62
5568,842,45,152.11,2024-12-05 18:25:18.667250,Home & Garden,139.92
6612,3729,75,100.0,2024-12-05 18:25:18.667250,Food,114.31
9524,2918,170,70.43,2024-12-05 18:25:18.667250,Beauty,125.48
9018,484,103,280.53,2024-12-05 18:25:18.667250,Furniture,94.38
6156,3544,113,171.59,2024-12-05 18:25:18.667250,Sports,10.0
8586,355,3,87.3,2024-12-05 18:25:18.667250,Beauty,59.04
11463,4514,126,62.93,2024-12-05 18:25:18.667250,Food,147.67
4464,3041,43,106.72,2024-12-05 18:25:18.667250,Sports,83.56
11164,618,27,33.22,2024-12-05 18:25:18.667250,Home & Garden,91.66
2668,1613,159,102.94,2024-12-05 18:25:18.667250,Furniture,80.99
5290,4624,113,136.82,2024-12-05 18:25:18.667250,Sports,10.0
9877,1460,11,201.49,2024-12-05 18:25:18.667250,Electronics,184.96
7950,1613,94,104.23,2024-12-05 18:25:18.667250,Fashion,105.03
7055,4808,142,100.11,2024-12-05 18:25:18.667250,Toys,166.43
13924,4134,45,68.4,2024-12-05 18:25:18.667250,Home & Garden,139.92
